"Rank","Song","Artist","Year","Lyrics","Source"
34,"baby its you","smith",1969," its not the way you smile that touched my heart its not the way you kissed that tears me apartmany many many nights go by i sit alone at home and cry over you what can i do dont want nobody nobody cause baby its you baby its youis it true what they say about you they say youll never ever never be true it doesnt matter what they say i know im gonna love you any old way what can i do what bout you dont want nobody nobody baby its you baby its youbabyit doesnt matter what they say i know im gonna love any old way what can i do what bout you dont want nobody nobody baby its you baby its youdont leave me alone come on home baby its you baby its you you know i need your lovin you know i love you baby its you baby ",1
35,"in the ghetto","elvis presley",1969," as the snow flies on a cold and gray chicago mornin a poor little baby child is born in the ghetto in the ghettoand his mama cries cause if theres one thing that she dont need its another hungry mouth to feed in the ghetto in the ghettopeople dont you understand the child needs a helping hand or hell grow to be an angry young man some day take a look at you and me are we too blind to see do we simply turn our heads and look the other waywell the world turns and a hungry little boy with a runny nose plays in the street as the cold wind blows in the ghetto in the ghettoand his hunger burns so he starts to roam the streets at night and he learns how to steal and he learns how to fight in the ghetto in the ghettothen one night in desperation a young man breaks away he buys a gun steals a car tries to run but he dont get far and his mama criesas a crowd gathers round an angry young man face down on the street with a gun in his hand in the ghetto in the ghettoand as her young man dies on a cold and gray chicago mornin another little baby child is born in the ghetto in the ghettoand his mama cries in the ghetto in the ghetto aahaah ",1
36,"a boy named sue","johnny cash",1969," i want you to uh i want to a if you dont mind carl id like you to stay out and help us on some songs id love to one of the greatest guitar players as well as song writers and singers in memphis appreciate a little help on guitar alright thank you carlwellmy daddy left home when i was three and he didnt leave much to ma and me just this old guitar and an empty bottle of booze now i dont blame him cause he run and hid but the meanest thing that he ever did was before he left he went and named me suewell he must o thought that is quite a joke and it got a lot of laughs from a lots of folk it seems i had to fight my whole life through some gal would giggle and id get red and some guyd laugh and id bust his head i tell ya life aint easy for a boy named suewell i grew up quick and i grew up mean my fist got hard and my wits got keen id roam from town to town to hide my shame but i made a vow to the moon and stars that id search the honkytonks and bars and kill that man who gave me that awful namewell it was gatlinburg in midjuly and i just hit town and my throat was dry i thought id stop and have myself a brew at an old saloon on a street of mud there at a table dealing stud sat the dirty mangy dog that named me suewell i knew that snake was my own sweet dad from a wornout picture that my motherd had and i knew that scar on his cheek and his evil eye he was big and bent and gray and old and i looked at him and my blood ran cold and i said my name is sue how do you do now youre gonna dieyeah thats what i told himwell i hit him hard right between the eyes and he went down but to my surprise he come up with a knife and cut off a piece of my ear but i busted a chair right across his teeth and we crashed through the wall and into the street kicking and a gouging in the mud and the blood and the beeri tell ya ive fought tougher men but i really cant remember when he kicked like a mule and he bit like a crocodile i heard him laugh and then i heard him cuss he went for his gun and i pulled mine first he stood there lookin at me and i saw him smileand he said son this world is rough and if a mans gonna make it hes gotta be tough and i knew i wouldnt be there to help ya along so i give ya that name and i said goodbye i knew youd have to get tough or die and its the name that helped to make you stronghe said now you just fought one hell of a fight and i know you hate me and you got the right to kill me now and i wouldnt blame you if you do but ya ought to thank me before i die for the gravel in ya guts and the spit in ya eye cause im the sonofabitch that named you suewell what could i do what could i do i got all choked up and i threw down my gun and i called him my paw and he called me his son and i came away with a different point of view and i think about him now and then every time i try and every time i win and if i ever have a son i think im gonna name him bill or george anydamnthing but suealright thank you very much ",1
37,"baby baby dont cry","the miracles",1969,NA,NA
38,"only the strong survive","jerry butler",1969," i remember my first love affair somehow or another the whole darn thing went wrong my mama had some great advice so i thought id put it into words of this song i can still hear her saying itboy oh i see youre sitting out there all alone cryin your eyes out cause the woman that you love has gone theres gonna be theres gonna be a whole lot of trouble in your life so listen to me get up off of your knees cause only the strong survivethats what she said only the strong survive only the strong survive youve got to be strong youd better hold on dont go all around with your head hung downi wouldnt let that little girl no i wouldnt let her know that she made me feel like a clown theres a whole lot a girl lookin for a good man like you oh but youll never meet them if you give up now and say your life is throughthen she said it only the strong survive only the strong survive youve got to be a man youve got to take a standso i am telling you right now only the strong survive only the strong survive youve got to be strong youd better hold ondont worry about it dont you know that things are gonna change but youve got to be a man youve got to take a stand dont ever feel that like you can make it baby ",1
39,"time of the season","the zombies",1969," its the time of the season when love runs high in this time give it to me easy and let me try with pleasured handsto take you in the sun to promised lands to show you every one its the time of the season for lovingwhats your name whos your daddy is he rich like me has he taken any time to show you what you need to livetell it to me slowly tell you what i really want to know its the time of the season for lovingwhats your name whos your daddy is he rich like me has he taken any time to show you what you need to livetell it to me slowly tell you what i really want to know its the time of the season for loving ",1
40,"wedding bell blues","the 5th dimension",1969,"bill i love you so i always will i look at you and see the passion eyes of may oh but am i ever gonna see my wedding day i was on your side bill when you were loosin i never scheme or lie bill theres been no foolin but kisses and love wont carry me till you marry me bill i love you so i always will and in your voice i hear a choir of carousels oh but am i ever gonna hear my wedding bells i was the one who came runnin when you were lonely i havent lived one day not lovin you only but kisses and love wont carry me till you marry me bill i love you so i always will and though devotion rules my heart i take no bows but bill youre never gonna take those wedding vows oh come on bill oh come on bill come on and marry me bill i got the wedding bell blues please marry me bill i got the wedding bell blues wedding bell blues marry me bill i got the wedding bell blues",3
41,"little woman","bobby sherman",1969,"hey little woman please make up your mind youve got to come into my world leave your world behind come on now na na na na you got to come down from that cloud girl and leave your world behind when your with me i feel sunshine even when im standing in the rain something happens that i cant explain when i hear your name but you cant help it that youre always chasing rainbows in your mind theres so much i wanna say to you but theres so little time hey little woman please make up your mind youve got to come into my world leave your world behind na na na na you got to come down from that cloud girl and leave your world behind what do you see when your walking down a busy street and im not there is my picture hanging in your mind walking with you there thats how it is in my world girl youre not there all the time why dont you come into my world and leave your world behind hey little woman please make up your mind youve got to come into my world leave your world behind na na na na you got to come down from that cloud girl and leave your world behind",5
42,"love can make you happy","mercy",1969,"wake up in the morning with the sunshine in your eyes and the smell of flowers blooming fills the air your mind is filled with the thoughts of a certain someone  that you love your life is filled with joy when she is there love can make you happy if you fine someone who cares to give a life time to you and who has a love to share if you think youve found someone youll love forevermore then its worth the price youll have to pay pay to have to holds important but forever is the phrase that means the love youve found is going to stay love can make you happy if you fine someone who cares to give a life time to you and who has a love to share lalove lalove love can make you happy love can make you happy love can make you happy love",5
43,"good morning starshine","oliver",1969," good morning starshine the earth says hello you twinkle above us we twinkle belowgood morning starshine you lead us along my love and me as we sing our early morning singing songgliddy glup gloopy nibby nabby noopy la la la lo lo sabba sibby sabbanooby abba nabba le le lo lo tooby ooby walla nooby abba nabba early morning singing songgood morning starshine you lead us along my love and me as we sing our early morning singing songgliddy glup gloopy nibby nabby noopy la la la lo lo sabba sibby sabbanooby abba nabba le le lo lo tooby ooby walla nooby abba nabba early morning singing songsinging a song humming a song singing a song loving a song laughing a songsing the song sing the song song the sing song song song sing sing sing sing song ",1
