"Rank","Song","Artist","Year","Lyrics","Source"
49,"the rain the park  other things","the cowsills",1967,"i saw her sitting in the rain raindrops falling on her she didnt seem to care she sat there and smiled at me then i knew she could make me happy flowers in her hair flowers everywhere i love the flower girl oh i dont know just why she simply caught my eye i love the flower girl she seemed so sweet and kind she crept into my mind to my mind i knew i had to say hello she smiled up at me and she took my hand and we walked through the park alone and i knew she had made me happy flowers in her hair flowers everywhere i love the flower girl oh i dont know just why she simply caught my eye i love the flower girl she seemed so sweet and kind she crept into my mind to my mind suddenly the sun broke through i turned around she was gone all i had left was one little flower in my hand but i knew she had made me happy flowers in her hair flowers everywhere i love the flower girl was she reality or just a dream to me i love the flower girl her love showed me the way to find a sunny day sunny day i love the flower girl was she reality or just a dream to me i love the flower girl",3
50,"theres a kind of hush","hermans hermits",1967," theres a kind of hush all over the world tonight all over the world you can hear the sound of lovers in loveyou know what i mean just the two of us and nobody else in sight theres nobody else and im feeling good just holding you tightso listen very carefully move closer now and you will see what i mean it isnt a dreamthe only sound that you will hear is when i whisper in your ear i love you forever and evertheres a kind of hush all over the world tonight all over the world you can hear the sound of lovers in lovela la la la la la la la laso listen very carefully move closer now and you will see what i mean it isnt a dreamthe only sound that you will hear is when i whisper in your ear i love you forever and evertheres a kind of hush all over the world tonight all over the world people just like us are fallin in loveyeah theyre fallin in love hush theyre fallin in love hush ",1
51,"mercy mercy mercy","the buckinghams",1967," my baby she may not alook like one of those bunnies out of a playboy club but she got somethin much greater than gold crazy bout that girl cause she got so much soulchorus i said she got the kind of lovin kissin and ahuggin sure is mellow glad that im her fellow and i know that she knocks me off my feet have mercy on me cause she knocks me off my feet there is no girl in the whole world that can love me like you domy baby when she walks by all the fellows go oh and i know why its simply cause that girl she looks so fine and if she ever leaves me i would lose my mindchorusyeah everybody in the neighborhood will testify that my girl she looks so good and shes so fine shed give eyesight to the blind and if she ever leaves me i would lose my mindchorusbaby yeah you got that soulful feel yeah its all right mercy mercy ",1
52,"this is my song","petula clark",1967," why is my heart so light why are the stars so bright why is the sky so blue since the hour i met youflowers are smiling bright smiling for our delight smiling so tenderly for the world you and mei know why the world is smiling smiling so tenderly it hears the same old story through all eternitylove this is my song here is a song a serenade to you the world cannot be wrong if in this world theres youi care not what the world may say without your love there is no day so love this is my song here is a song a serenade to youi care not what the world may say without your love there is no day so love this is my song here is a song a serenade to you ",1
53,"your love keeps lifting me higher and higher","jackie wilson",1967," your love lifting me higher than ive ever been lifted before so keep it it up quench my desire and ill be at your side forever moreyou know your love your love keeps lifting me keep on lifting love keeps lifting me higher lifting me higher and higher higher i said your love your love keeps lifting me keep on love keeps lifting me lifting me lifting me higher and higher higher now listennow once i was down hearted disappointment was my closest friend but then you came and it soon departed and you know he never showed his face againthats why your love your love keeps lifting me keep on lifting love keeps lifting me higher lifting me higher and higher higher i said your love your love keeps lifting me keep on love keeps lifting me lifting me lifting me higher and higher higherim so glad ive finally found you yes that one in a million girls and i whip my loving arms around you i can stand up and face the worldlet me tell ya your love your love keeps lifting me keep on lifting love keeps lifting me higher lifting me higher and higher higher i said your love your love keeps lifting me keep on love keeps lifting me lifting me lifting me higher and higher highernow sock it to me hold me  the other woman keep my love going higher and higher i said keep on lifting lift me up mama keep on lifting me higher and higher ",1
54,"ive been lonely too long","the young rascals",1967,"ive been lonely too long ive been lonely too long in the past its come and gone i feel like i cant go on without love ive been lonely too long hes been lonely too long ive been lonely too long hes been lonely as i look back i can see me lost and searching now i find that i can choose im free oh yeah so funny i just have to laugh all my troubles been torn in half i been lonely too long hes been lonely too long lonely too long hes been lonely in the past its come and gone i feel like i cant go on without love lonely lonely too long ive been lonely too long hes been lonely just see me now makes it worth the time ive waited she was all i need to make me see oh yeah i keep hopin with all my mind everything gonna turn out right ive been lonely too long hes been lonely too long ive been lonely too long hes been lonely now look at me gliding through this world of beauty everything i do brings ecstasy oh yeah no wonder i could die i feel like im bout ten miles high ive been lonely too long hes been lonely too long lonely too long hes been lonely found myself somebody hes been lonely dont have to be alone no more hes been lonely hes been lonely dont have to alone no more no more hes been lonely hes been lonely",5
55,"penny lane","the beatles",1967,"in penny lane there is a barber showing photographs of every head hes had the pleasure to know and all the people that come and go stop and say hello on the corner is a banker with a motorcar the little children laugh at him behind his back and the banker never wears a mac in the pouring rain very strange penny lane is in my ears and in my eyes wet beneath the blue suburban skies i sit and meanwhile back in penny lane there is a fireman with an hourglass and in his pocket is a portrait of the queen he likes to keep his fire engine clean its a clean machine penny lane is in my ears and in my eyes a four of fish and finger pies in summer meanwhile back behind the shelter in the middle of a roundabout a pretty nurse is selling poppies from a tray and though she feels as if shes in a play she is anyway penny lane the barber shaves another customer we see the banker sitting waiting for a trim and the fireman rushes in from the pouring rain very strange penny lane is in my ears and in my eyes there beneath the blue suburban skies i sit and meanwhile back penny lane is in my ears and in my eyes there beneath the blue suburban skies penny lane",3
56,"youre my everything","the temptations",1967," you surely must know magic girl cause you changed my life it was dull and ordinary but you made it sunny and bright i i was blessed the day i found you gonna build my whole world around you youre evrything good girl and youre all that matters to mewhen my way was dark and troubles were near your love provided the light so i couldnt see girl just knowing your love was near when times were bad kept the world from closing in on me girl i was blessed the day i found you gonna build my whole world around you youre evrything good girl and youre all that matters to meyoure part of evry thought i think each day your name is in evry phrase my lips say evry dream i dream is about you honey i couldnt live without you baby baby baby youre my evrything youre my evrything yes you are youre my evrything girl youre the girl i sing about in evry love song i sing youre my everything youre my winter baby my summer my fall and spring youre my everything i was blessed the day i found you gonna build my whole world around you youre evrything good girl and youre all that matters to meyoure my evrything youre my everything youre my evrything youre my everything ",1
57,"georgy girl","the seekers",1967,"the seekers miscellaneous georgy girl georgy girl artists the seekers from the seekers greatest hitscapitol 4xl9397 peak billboard position  2 in 196667 title song from film starring lynn redgrave james mason alan bates and charlotte rampling words by jim dale and music by tom springfield hey there georgy girl swingin down the street so fancyfree nobody you meet could ever see the loneliness there inside you hey there georgy girl why do all the boys just pass you by could it be you just dont try or is it the clothes you wear youre always window shopping but never stopping to buy so shed those dowdy feathers and fly a little bit hey there georgy girl theres another georgy deep inside bring out all the love you hide and oh what a change thered be the world would see a new georgy girl hey there georgy girl dreamin of the someone you could be life is a reality you cant always run away dont be so scared of changing and rearranging yourself its time for jumping down from the shelf a little bit hey there georgy girl theres another georgy deep inside bring out all the love you hide and oh what a change thered be the world would see a new georgy girl hey there georgy girl wake up georgy girl hey there georgy girl come on georgy girl fade hey there georgy girl wake up georgy girl transcribed by robin hood these lyrics were transcribed from the specific recording mentioned above and do not necessarily correspond with lyrics from other recordings sheet music songbooks or lyrics printed on album jackets",3
58,"western union","five americans",1967,"things went wrong today bad news came my way i woke up to find  that i had blew my mind western union man bad news in his hand knocking at my door selling me the score fifteen cents a word to read a telegram i didnt need says she doesnt care no more think ill throw it on the floor got your cable just today tell the girl what ive got to sayay western union  dit da dit da dit 8x now youve gone away and how its sad to say youve gone i remember what they said now im going out of my head telegram just had to say youve learned your lesson all the wayay break telegram just had to say youve learned your lesson all the wayay western union  dit da dit da dit 8x ill be on my way cause theres another girl for me ill be sure of her and things will be as they were western union oh western union western union western union fade",3
59,"baby i love you","aretha franklin",1967," if you want my lovin if you really do dont be afraid baby just ask me ya know im gonna give it to youoh and i do declare i do i wanna see you with it stretch out your arms little boy your gonna get it cause i love you oh baby baby baby i love you there aint no doubt about it baby i love you baby baby baby i love you i love you i love you i love you i love you baby i love youif you feel you wanna kiss me go right ahead i dont mind all you got to do is snap your fingers and ill come a runnin i aint lyin i aint lyin and oh what you want little boy you know you got it id deny my own self before i see you without it cause i love you baby baby baby i love you aint no doubt about it baby i love you baby baby baby i love you i love you i love you i love you i love you baby i love yousomeday ya might wanna run away and leave me sittin here to cry but if its all the same to ya baby im gonna stop you from sayin goodbye goodbye baby i love ya baby baby i love ya baby i need ya baby baby i need ya said i want ya baby baby i want ya got ta have ya baby baby baby i love ya dont let your neighbors tell ya i dont want ya baby baby i want ya dont let your lowdown friends baby baby i want ya ",1
60,"a little bit me a little bit you","the monkees",1967,"walk out girl dont you walk out weve got things to say talk out lets have it talked out things will be okay girl i dont want to find that im a little bit wrong and youre a little bit right i said girl you know that its true its a little bit me a little bit me and its a little bit you too dont know just what i said wrong but girl i apologize dont go heres where you belong so wipe the tears from your eyes girl i dont want to find that im a little bit wrong and youre a little bit right i said girl you know that its true its a little bit me a little bit me and its a little bit you too oh girl i dont want to find that im a little bit wrong and youre a little bit right i said girl you know that its true its a little bit me a little bit me and its a little bit you too its a little bit me   oh its a little bit me its a little bit you   oh its a little bit you girl dont go   oh its a little bit me no no no no no   oh its a little bit you girl dont go   oh its a little bit me no no no no no   oh its a little bit you hey girl   oh its a little bit me hey girl   oh its a little bit you",3
61,"california nights","lesley gore",1967," along the sand lets walk the shore together now just hand in hand its gonna be fair weather now when the stars come out stop to count them in the skylove california nights when im walkin with you hand in hand by the shore yes i love california nights at the beach where wed swim with the tide rolling inand there will be beneath the midnight sky above just you and me and we will whisper words of love while the fire light softly flickers in the sandwarm california nights with the breeze blowin in time for love to begin i would miss california nights if i went on my way thinkin now that ill stayooh baby love you baby mm babylove california nights always close as a kiss nothings sweeter than this and well spend california nights always close as a kiss ",1
62,"dedicated to the one i love","the mamas  the papas",1967,"while im far away from you my baby i know its hard for you my baby because its hard for me my baby and the darkest hour is just before dawn each night before you go to bed my baby whisper a little prayer for me my baby and tell all the stars above this is dedicated to the one i love love can never be exactly like we want it to be i could be satisfied knowing you love me theres one thing i want you to do especially for me and its something that everybody needs while im far away from you my baby whisper a little prayer for me my baby because its hard for me my baby and the darkest hour is just before dawn if theres one thing i want you to do especially for me then its something that everybody needs each night before you go to bed my baby whisper a little prayer for me my baby and tell all the stars above this is dedicated to the one i love this is dedicated to the one i love this is dedicated to the one i love this is dedicated to the one i love this is dedicated",3
63,"how can i be sure","the young rascals",1967,"how can i be sure in a world thats constantly changing how can i be sure where i stand with you whenever i whenever i am away from you i wanna die cause you know i wanna stay with you how do i know maybe youre trying to use me flying too high can confuse me touch me but dont take me down whenever i whenever i am away from you my alibi is telling people i dont care for you maybe im just hanging around with my head up upside down its a pity i cant seem to find someone whos as pretty and lovely as you how can i be sure i really really really wanna know i really really really wanna know oh hows the weather weather or not were together together well see it much better i love you i love you forever you know where i can be found how can i be sure in a world thats constantly changing how can i be sure ill be sure with you",3
64,"carrie anne","the hollies",1967,"hey carrie anne hey carrie anne when we were at school our games were simple i played a janitor you played a monitor then you played with older boys and prefects whats the attraction in what theyre doing hey carrie anne whats your game now can anybody play hey carrie anne whats your game now can anybody play youre always something special to me quite independent never caring you lost your charm as you were aging where is your magic disappearing hey carrie anne whats your game now can anybody play hey carrie anne whats your game now can anybody play youre so so like a woman to me so so like a woman to me hey carrie anne whats your game now can anybody play hey carrie anne whats your game now can anybody play people live and learn but youre still learning you use my mind and ill be your teacher when the lessons over youll be with me then ill hear the other people saying hey carrie anne whats your game now can anybody play hey carrie anne whats your game now can anybody play carrie anne",3
65,"we aint got nothin yet","blues magoos",1967," one day youre up and the next day youre down you cant face the world with your head to the ground the grass is always greener on the other side they say so dont worry boys life will be sweet some day oh oh oh oh oh oh oh oh we made enough mistakes but you know we got what it takesoh we aint got nothin yet no we aint got nothin yetnothin can hold us and nothin can keep us down and someday our names will be spread all over town we can get in while the getting is good so make it on your own yeah you know that you could oh oh oh oh oh oh oh oh we got to make the break cause we got too much at stakewe made enough mistakes but you know we got what it takes ",1
66,"friday on my mind","the easybeats",1967,"monday morning feels so bad evrybody seems to nag me coming tuesday i feel better even my old man looks good wednesday just dont go thursday goes too slow ive got friday on my mind chorus gonna have fun in the city be with my girl shes so pretty she looks fine tonight she is out of sight to me tonighti spend my bread tonighti lose my head tonighti got to get tonight monday i have friday on my mind do the five day drag once more know of nothing else that bugs me more than working for the rich man hey ill change that scene one day today i might be mad tomorrow ill be glad ive got friday on my mind repeat chorus",3
67,"soul finger","the barkays",1967,"  ",1
68,"gimme some lovin","the spencer davis group",1967,"well my temperatures rising and my feet are on the floor twenty people knocking cos theyre wanting some more let me in baby i dont know what youve got but youd better take it easy this place is hot im so glad we made it im so glad we made it youve gotta gimme some lovin gimme some lovin gimme some lovin gimme gimme some lovin gimme some lovin every day well i feel so good everything is sounding hot better take it easy cos the place is on fire been a hard day and i dont know what to do wait a minute baby it could happen to you im so glad we made it im so glad we made it youve gotta gimme some lovin gimme some lovin gimme some lovin gimme gimme some lovin gimme some lovin every day well i feel so good everybodys getting high better take it easy cos the place is on fire been a hard day and nothing went too good now im gonna relax honey everybody should im so glad we made it im so glad we made it youve gotta gimme some lovin gimme some lovin gimme some lovin gimme gimme some lovin gimme some lovin every day gimme some lovin gimme some lovin i need it gimme gimme some lovin i need it ooh gimme some lovin every day every day",3
69,"let it out let it all hang out","the hombres",1967,"the hombres miscellaneous let it out let it all hang out let it out let it all hang out the hombres bill cunningham spoken a preachment dear friends you are about to receive on john barleycorn nicotine and the temptations of eve bronx cheer no parkin by the sewer sign hot dog my razors broke water drippin up the spout but i dont care let it all hang out hangin from a pine tree by my knees sun is shinin through the shade nobody knows what its all about its too much man let it all hang out saw a man walkin upside down my tvs on the blink made galileo look like a boy scout sorry bout that let it all hang out sleep all day drive all night brain my numb cant stop now for sure aint no doubt keep an open mind let it all hang out its rainin inside a big brown moon how does that mess you baby up leg eatin a reuben sandwich with sauerkraut dont stop now baby let it all hang out let it all hang out harmonized repeat to fade",3
70,"lets live for today","the grass roots",1967,"when i think of all the worries people seem to find and how theyre in a hurry to complicate their mind by chasing after money and dreams that cant come true im glad that we are different weve better things to domay others plan their future im busy lovin you 1234 shalalalalala live for today shalalalalala live for today and dont worry bout tomorrow hey hey hey shalalalalala live for today live for today we were never meant to worry the way that people do and i dont need to hurry as long as im with you well take it nice and easy and use my simple plan youll be my lovin woman ill be your lovin man well take the most from living have pleasure while we can 234 shalalalalala live for today shalalalalala live for today and dont worry bout tomorrow hey hey hey shalalalalala live for today live for today baby i need to feel you inside of me i got to feel you deep inside of me baby please come close to me i got to have you now please please please gimme somea lovin gimme somea lovin gimme somea lovin gimme somea lovin baby gimme somea lovin gimme somea lovin i need all your lovin gimme somea lovin i need all your lovin give me some love now i need all your lovin sha la la la la la shalalalalala live for today shalalalalala live for today and dont worry bout tomorrow hey hey hey shalalalalala live for today",5
71,"close your eyes","peaches  herb",1967,"close your eyes take a deep breathe close your eyes ah open your heart and whisper i love you i love you open your heart tell me you love me tell me you love me you love me you love me hold me tight dont say goodnight hold me tight dont say goodnight weve got the time everythings gonna be alright just hold me darling never let me go and tell me you love me you love me you love me oh no no even though oh no no even though this is not the way i want it to be but if you must pretend thats alright with me close your eyes take a deep breathe close your eyes ah open your heart and whisper i love you i love you open your heart tell me you love me tell me you love me you love me you love me",3
72,"groovin","booker t  the mgs",1967,NA,NA
73,"funky broadway","wilson pickett",1967," every town i go theres a street name of the street funky funky broadway down on broadway theres a nightclub now now name of the nightclub now baby funky funky broadway down on broadway theres a crowd now name of the crowd baby broadway crowd down on broadway yeah theres a dance yeah name of the dance funky funky broadway hey huhwiggle your legs now baby shake your head up do the shingaling now baby shakeshakeshake now you dont know baby you dont know now woman ow do the funky broadwaylord have mercy oh you got me feeling all rightdirty filthy broadway dont i like broadway now broadway look here down on broadway theres a woman name of the woman broadway woman hey down on broadway yeah theres a man name of the man now now now now now now ",1
74,"pleasant valley sunday","the monkees",1967,"your local rock group down the street is trying hard to learn this song to serenade the weekend squire just came out to mow his lawn another pleasant valley sunday charcoal burnin everywhere rows of houses that are all the same and no one seems to care see mrs gray shes proud today because her roses are in bloom and mr green hes so serene hes got a tv in every room another pleasant valley sunday here in status symbol land mothers complain about how hard life is and the kids just dont understand creature comfort goals they only numb my soul and make it hard for me to see my thoughts all seem to stray to places far away i need a change of scenery ta ta ta ta ta ta ta ta ta another pleasant valley sunday charcoal burnin everywhere another pleasant valley sunday here in status symbol land another pleasant valley sunday another pleasant valley sunday another pleasant valley sunday ",3
75,"i never loved a man the way i love you","aretha franklin",1967," youre a no good heart breaker youre a liar and youre a cheat and i dont know why i let you do these things to me my friends keep telling me that you aint no good but oh but they dont know that id leave you if i couldi guess im uptight and im stuck like glue cause i aint never i aint never i aint never no no loved a man the way that i i love yousome time ago i thought you had run out of fools but i was so wrong you got one that youll never lose the way you treat me is a shame how could ya hurt me so bad baby you know that im the best thing that you ever had kiss me once againdont ya never never say that we were through cause i aint never never never no no loved a man the way that i i love youi cant sleep at night and i cant even fight i guess ill never be free since you got your hooks in mewhoa oh oh yeah yeah i aint never loved a man i aint never loved a man baby aint never had a man hurt me so badno well this is what im gonna do about it ",1
76,"tell it like it is","aaron neville",1967," if you want something to play with go and find yourself a toy baby my time is too expensive and im not a little boyif you are serious dont play with my heart it makes me furious but if want me to love you then baby i will girl you know i willtell it like it is dont be ashamed to let your conscience be your guide but iiiii know deep down inside of me i believe you love me forget your foolish pridelife is too short to have sorrow you may be here today and gone tomorrow you might as well get what you want so go on and live baby go on and live ",1
77,"cold sweat","james brown",1967," come on play it play it on babyi dont care alright about your past dig i just want hey my love to last come on i dont care hit the band about your faults huh i just want hey to satisfy your pulse hey come onwhen you kiss me oh me make me understand hey one more time i break out huh in a cold sweathey get down down get on down get on down come on downi dont care alright about your wants i just wanna tell ya baby about the does and donts huh i dont care about the way you treat me darlinuh hey when you kiss me yeah and ya miss me hold me and make everything all right i break out in a cold sweathey get down come on get it get it get it baby baby baby come on do it do it do it uhgo on home come on duh get it get itcome on ",1
78,"shed rather be with me","the turtles",1967," some girls love to run around love to handle everything they see but my girl has more fun around and you know shed rather be with meme oh my lucky guy is what i am tell you why youll understand she dont fly although she cansome boys love to run around they dont think about the things they do but this boy wants to settle down and you know hed rather be with youme oh my lucky guy is what i am tell you why youll understand she dont fly although she cansome girls love to run around love to handle everything they see but my girl has more fun around and you know shed rather be with yeah shed rather be with you know shed rather be with meah you know shed rather be with me ah you know shed rather be with me ah you know shed rather be with me ",1
79,"986","keith",1967," good mornin sun i say its good to see you shinin i know my baby brought you to me she kissed me yesterday hello to silver linin got spring and summer running through mehey 986 its good to have you back again oh hey 986 her lovin is the medicine that saved me oh i love my babyhey everybody on the street i see you smilin must be because i found my baby you know shes got me on another kind of highway i want to go to where it takes mehey 986 its good to have you back again oh hey 986 her lovin is the medicine that saved me oh i love my babyyou know shes got me on another kind of highway i want to go to where it takes mehey 986 its good to have you back again oh hey 986 her lovin is the medicine that saved me oh i love my baby ",1
