"Rank","Song","Artist","Year","Lyrics","Source"
33,"somebody to love","jefferson airplane",1967," when the truth is found to be lies and all the joy within you dies dont you want somebody to love dont you need somebody to love wouldnt you love somebody to love you better find somebody to lovewhen the garden flowers baby are dead yes and your mind your mind is so full of red dont you want somebody to love dont you need somebody to love wouldnt you love somebody to love you better find somebody to loveyour eyes i say your eyes may look like his yeah but in your head baby im afraid you dont know where it is dont you want somebody to love dont you need somebody to love wouldnt you love somebody to love you better find somebody to lovetears are running down and down and down your breast and your friends baby they treat you like a guest dont you want somebody to love dont you need somebody to love wouldnt you love somebody to love you better find somebody to love ",1
34,"get on up","the esquires",1967,"ooh ooh ooh ditditditdo ooh ooh ooh ditditditdo get on up get on up get on up get on up now get on up get on up now get on up get on up how can you sit yourself down for a rest when you know that im trying my best to dance with you girl get on up to dance with you girl get on up so get on up get on up on the floor get on up get on up now get on up and dance some more get on up get on up get on up lets boogaloo get on up get on up now get on up just me and you get on up so get on up get on up on the floor get on up get on up now get on up and dance some more get on up get on up get on up lets boogaloo get on up get on up now get on up just me and you get on up da da da da da da hey you get on up over there get on up get on up now get on up dont go nowhere get on up we gonna dance dance dance we gonna dance dance dance the boogaloo get on up too get on up were gonna do the monkey the philly dog too were gonna do the jerk just me and you were gonna dance dance dance were gonna shingaling were gonna do the thing tonight ditditditdo so get on up get on up and sock it to me get on up get on up get on up and rock it to me get on up so get on up get on up and sock it to me get on up",3
35,"brown eyed girl","van morrison",1967," hey where did we go days when the rains came down in the hollow playin a new gamelaughin and arunnin hey hey skippin and ajumpin in the misty mornin fog with our our hearts athumpinand you my brown eyed girl you my brown eyed girland whatever happened to tuesday and so slow going down the old man with a transistor radiostandin in the sunlight laughin hidin behind a rainbows wall slippin and aslidin all along the waterfallwith you my brown eyed girl you my brown eyed girldo you remember when we used to sing sha la la la la la la la la lla te da just like that sha la la la la la la la la lla te da la te daso hard to find my way now that im all on my own i saw you just the other day my how you have growncast my memory back there lord sometimes im overcome thinkin bout it makin love in the green grass behind the stadium with you my brown eyed girl you my brown eyed girldo you remember when we used to sing sha la la la la la la la la lla te da lyin in the green grass sha la la la la la la la la lla te da bit by bit by bit by bit by bit by bit sha la la la la la la la la lla te da sha la la la la la la la la la te da la te da la te da da da da sha la la la la la la la la lla te da ",1
36,"jimmy mack","martha and the vandellas",1967,"martha miscellaneous jimmy mack jimmy mack martha  the vandellas  jimmy jimmy oh jimmy mack when are you coming back jimmy jimmy oh jimmy mack when are you coming back my arms are missing you my lips feel the same way too i tried so hard to be true like i promised id do but this boy keeps coming around hes trying to wear my resistance down chorus hey jimmy jimmy oh jimmy mack when are you coming back jimmy jimmy oh jimmy mack when are you coming back he calls me on the phone about three times a day now my hearts just listening to what he has to say but this loneliness that i have within keeps reaching out to be his friend chorus need your loving need your loving instrumental break i wanna say im not getting any stronger i cant hold out very much longer trying hard to be true but jimmy he talks just as sweet as you chorus need your loving need your loving need your loving need your loving jimmy jimmy oh jimmy mack when are you coming back repeats out",3
37,"i got rhythm","the happenings",1967,"in this vast and troubled world we sometimes loose our way but i am never lost i feel this way because ditditditditditditditdit ditdit rhythm ditdit rhythm ditdit rhythm ditdit rhythm i got rhythm i got music i got my girl who could ask for anything more i got good times no more bad times i got my girl who could ask for anything more old man trouble old man trouble i dont mind him i dont mind him you wont find him round my door i got starlight i got starlight i got sweet dreams i got sweet dreams i got my girl who could ask for who could ask for more instrumental interlude ditditditditditditditdit ditditditditditditditdit old man trouble old man trouble i dont mind him i dont mind him you wont find him youll never gonna find round my door i got rhythm hey i got rhythm i got music hey i got music i got my girl who could ask for anything more in this vast and troubled world ditdit rhythm ditdit rhythm ditdit rhythm ditdit rhythm i got rhythm i got rhythm i got rhythm",3
38,"a whiter shade of pale","procol harum",1967," we skipped the light fandango turned cartwheels cross the floor i was feeling kinda seasick but the crowd called out for more the room was humming harder as the ceiling flew away when we called out for another drink the waiter brought a trayand so it was that later as the miller told his tale that her face at first just ghostly turned a whiter shade of pale she said there is no reason and the truth is plain to see but i wandered through my playing cards and would not let her be one of sixteen vestal virgins who were leaving for the coast and although my eyes were open they might have just as wellve been closedand so it was that later as the miller told his tale that her face at first just ghostly turned a whiter shade of paleand so it was that later ",1
39,"dont you care","the buckinghams",1967," if you dont love me why dont you tell me instead of runnin around with all the other guys in town cant you see youre hurtin me dont you care dont you care dont you care if you dont want me why dont you tell me instead of tellin lies and makin me cry whatever happened to all the good times we used to have the times we cried and laughed i want to know i want to know will you ever love me again or will i find out that this is the end dont you care you said that youd believe me then whyd you ever leave me im standin here all alone without a girl of my own dont you care dont you care dont you care ",1
40,"then you can tell me goodbye","the casinos",1967,"kiss me each morning for a million years hold me each evening by your side tell me youll love me for a million years then if it dont work out then if it dont work out then you can tell me goodbye sweeten my coffee with a morning kiss soften my dreams with your sighs tell me youll love me for a million years then if it dont work out then if it dont work out then you can tell me goodbye if you must go oh no i wont grieve if you wait a lifetime before you leave then if you must go i wont tell you no just so that we can say we tried tell me youll love me for a million years then if it dont work out then if it dont work out then you can tell me goodbye",3
41,"reflections","the supremes",1967," through the mirror of my mind time after time i see reflections of you and mereflections of the way life used to be reflections of the love you took from meoh im all alone now no love to shield me trapped in a world thats a distorted realityhappiness you took from me and left me alone with only memoriesthrough the mirror of my mind through these tears that im crying reflects a hurt i cant control cause although youre gone i keep holding on to the happy times oh when you were mineas i peer through the window of lost time looking over my yesterdays and all the love i gave all in vain all the love all the love that ive wasted all the tears all the tears that ive tasted all in vainthrough the hollow of my tears i see a dream thats lost from the hurt that you have causedeverywhere i turn seems like everything i see reflects the love that used to bein you i put all my faith and trust right before my eyes my world has turned to dustafter all the nights i sat alone and wept just a handful of promises are all thats left of loving youreflections of the way life used to be reflections of the love you took from mein you i put all my faith and trust right before my eyes my world has turned to dust ",1
42,"on a carousel","the hollies",1967,"riding along on a carousel trying to catch up to you riding along on a carousel will i catch up to you horses chasing cause theyre racing so near yet so far on a carousel on a carousel nearer and nearer by changing horses still so far away people fighting for their places just get in my way soon youll leave and then ill lose you still were going round on a carousel on a carousel round and round and round and round round and round and round and round with you up down up down up down too as she leaves she drops the presents that she won before pulling ducks out of the water got the highest score nows my chance and i must take it a case of do or die on a carousel on a carousel round and round and round and round round and round and round and round with you up down up down up down too riding along on a carousel trying to catch up to you riding along on a carousel will i catch up to you now we take our ride together no more chasing her on a carousel on a carousel on a carousel on a carousel",3
43,"please love me forever","bobby vinton",1967,"please love me forever dont forget me ever just listen to my plea please dont stop loving me youre in my dreams nightly dont take my love lightly begging on bended knees please dont stop loving me oh when i lay me down to sleep i pray the lord your love ill keep if i should die before i wake ill come back for you thats no mistake oh ill love you forever cant forget you ever our love was meant to be please dont stop loving me ill love you forever cant forget you ever our love was meant to be please dont stop loving me please dont stop loving me",3
44,"alfie","dionne warwick",1967," whats it all about alfie is it just for the moment we live whats it all about when you sort it out alfie are we meant to take more than we give or are we meant to be kind and if only fools are kind alfie then i guess it is wise to be cruel and if life belongs only to the strong alfie what will you lend on an old golden rule as sure as i believe theres a heaven above alfie i know theres something much more something even nonbelievers can believe in i believe in love alfie without true love we just exist alfie until you find the love youve missed youre nothing alfie when you walk let your heart lead the way and youll find love any day alfie alfie ",1
45,"silence is golden","the tremeloes",1967,"oh dont it hurt deep inside to see someone do something to her oh dont it pain to see someone cry oh especially when someone is her silence is golden but my eyes still see silence is golden golden but my eyes still see a talkin is cheap people follow like sheep even though there is nowhere to go how could she tell he deceived her so well pity shell be the last one to know silence is golden but my eyes still see silence is golden golden but my eyes still see how many times did she fall for his line should i tell her or should i keep cool and if i tried i know shell say i lied mind your business dont hurt her you fool silence is golden but my eyes still see silence is golden golden but my eyes still see but my eyes still see but my eyes still see",3
46,"my cup runneth over","ed ames",1967,"sometimes in the mornin when shadows are deep i lie here beside you just watching you sleep and sometimes i whisper what im thinking of my cup runneth over with love sometimes in the evening when you do not see i study the small things you do constantly i memorize moments that im fondest of my cup runneth over with love in only a moment we both will be old we wont even notice the world turning cold and so in these moments with sunlight above my cup runneth over with love my cup runneth over with love with love",3
47,"up up and away","the 5th dimension",1967,"would you like to ride in my beautiful balloon would you like to glide in my beautiful balloon we could flow among the stars together you and i for we can fly up up and away   for we can fly in my beautiful my beautiful balloon the worlds a nicer place in my beautiful balloon it wears a nicer face in my beautiful balloon we can sing a song and sail along the silver sky for we can fly up up and away   for we can fly in my beautiful my beautiful balloon suspended under the twilight canopy well search the sky for a star to guide us if by some chance you find yourself loving me well find a cloud to hide us keep the moon beside us love is waiting there in my beautiful balloon way up in the air in my beautiful balloon if youll hold my hand well chase your dream across the sky for we can fly up up and away   for we can fly in my beautiful my beautiful balloon balloon up up and away up up and away up up and away",3
48,"san francisco be sure to wear flowers in your hair","scott mckenzie",1967,"if youre goin to san francisco be sure to wear some flowers in your hair if youre goin to san francisco youre gonna meet some gentle people there for those who come to san francisco summertime will be a lovein there in the streets of san francisco gentle people with flowers in their hair all across the nation such a strange vibration people in motion theres a whole generation with a new explanation people in motion people in motion for those who come to san francisco be sure to wear some flowers in your hair if you come to san francisco summertime will be a lovein there if you come to san francisco summertime will be a lovein there",3
