"Rank","Song","Artist","Year","Lyrics","Source"
4,"ebony and ivory","paul mccartney and stevie wonder",1982," ebony and ivory live together in perfect harmony side by side on my piano keyboard oh lord why dont wewe all know that people are the same where ever we go there is good and bad in everyone we learn to live and we learn to give each other what we need to survive together aliveebony and ivory live together in perfect harmony side by side on my piano keyboard oh lord why dont we ebony ivory living in perfect harmony ebony ivory oohwe all know that people are the same where ever we go there is good and bad in everyone we learn to live and we learn to give each other what we need to survive together alive ",1
5,"centerfold","the j geils band",1982,"come on does she walk does she talk does she come complete my homeroom homeroom angel always pulled me from my seat she was pure like snowflakes no one could ever stain the memory of my angel could never cause me pain years go by im lookin through a girly magazine and theres my homeroom angel on the pages inbetween my blood runs cold my memory has just been sold my angel is the centerfold angel is the centerfold my blood runs cold my memory has just been sold angel is the centerfold slipped me notes under the desk while i was thinkin about her dress i was shy i turned away before she caught my eyes i was shakin in my shoes whenever she flashed those babyblues something had a hold on me when angel passed close by those soft and fuzzy sweaters too magical to touch to see her in that negligee is really just too much my blood runs cold yeah my memory has just been sold my angel is the centerfold angel is the centerfold my blood runs cold my memory has just been sold oh yeah angel is the centerfold now listen its okay i understand this aint no nevernever land i hope that when this issues gone ill see you when your clothes are on take your car yes we will well take your car and drive it well take it to a motel room and take em off in private a part of me has just been ripped the pages from my mind are stripped oh no i cant deny it oh yea i guess i gotta buy it my blood runs cold my memory has just been sold my angel is the centerfold angel is the centerfold my blood runs cold my memory has just been sold my angel is the centerfold all right all right one two three four my blood runs cold my memory has just been sold my angel is the centerfold angel is the centerfold my blood runs cold oh yeah my memory has just been sold my angel is the centerfold my angel is the centerfold",3
6,"dont you want me","the human league",1982," you were working as a waitress in a cocktail bar when i met you i picked you out i shook you up and turned you around turned you into someone newnow five years later on youve got the world at your feet success has been so easy for you but dont forget its me who put you where you are now and i can put you back there toodont dont you want me you know i cant believe it when i hear that you wont see me dont dont you want me you know i dont believe you when you say that you dont need me its much to late to find when you think youve changed your mind youd better change it back or we will both be sorry dont you want me baby dont you want me oh dont you want me baby dont you want me ohi was working as a waitress in a cocktail bar that much is true but even then i knew id find a much better place either with or without youthe five years we have had have been such good times i still love you but now i think its time i live my life on my own i guess its just what i must dodont dont you want me you know i cant believe it when i hear that you wont see me dont dont you want me you know i dont believe you when you say that you dont need me its much to late to find when you think youve changed your mind youd better change it back or we will both be sorry dont you want me baby dont you want me oh dont you want me baby dont you want me ohdont you want me baby dont you want me oh dont you want me baby dont you want me oh dont you want me baby dont you want me oh dont you want me baby dont you want me oh dont you want me baby dont you want me oh dont you want me baby dont you want me oh dont you want me baby ",1
7,"jack  diane","john cougar",1982,"a little ditty bout jack and diane two american kids growing up in the heartland jack hes gonna be a football star diane debutante back seat of jackys car suckin on chilli dogs outside the tastee freeze diane sitting on jackys lap got his hands between her knees jack he says hey diane lets run off behind a shady tree dribble off those bobby brooks let me do what i please saying oh yeah life goes on long after the thrill of living is gone sayin oh yeah life goes on long after the thrill of living is gone now walk on jack he sits back collects his thoughts for a moment scratches his head and does his best james dean well now then there diane we ought to run off to the city diane says baby you aint missing a thing but jack he says oh yeah life goes on long after the thrill of living is gone oh yeah he says  life goes on long after the thrill of living is gone oh let it rock let it roll let the bible belt come and save my soul holdin on to sixteen as long as you can change is coming round real soon make us woman and man oh yeah life goes on long after the thrill of living is gone oh yeah were sayin  life goes on long after the thrill of living is gone a little ditty bout jack and diane two american kids doin the best they can",3
8,"hurts so good","john cougar",1982,"john cougar mellencamp miscellaneous hurts so good hurts so good john cougar mellencamp john cougar mellencampgm green when i was a young boy said put away those young boy ways now that im gettin older so much older i love all those young boy days with a girl like you with a girl like you lord knows there are things we can do baby just me and you come on and make it chorus hurt so good come on baby make it hurt so good sometimes love dont feel like it should you make it hurt so good dont have to be so exciting just tryin to give myself a little bit of fun yeah you always look so invitin you aint as green as you are young hey baby its you come on girl now its you sink your teeth right through my bones baby lets see what we can do come on and make it chorus i aint talkin no big deals i aint made no plans myself i aint talkin no high heels maybe we could walk around all day long walk around all day long chorus twice hey hey",3
9,"abracadabra","steve miller band",1982," i heat up i cant cool down you got me spinnin round and round round and round and round it goes where it stops nobody knowsevery time you call my name i heat up like a burnin flame burnin flame full of desire kiss me baby let the fire get higherabraabracadabra i want to reach out and grab ya abraabracadabra abracadabrayou make me hot you make me sigh you make me laugh you make me cry keep me burnin for your love with the touch of a velvet gloveabraabracadabra i want to reach out and grab ya abraabracadabra abracadabrai feel the magic in your caress i feel magic when i touch your dress silk and satin leather and lace black panties with an angels facei hear the magic in your eyes i see magic in your sighs just when i think im gonna get away i hear those words that you always sayabraabracadabra i want to reach out and grab ya abraabracadabra abracadabraevery time you call my name i heat up like a burnin flame burnin flame full of desire kiss me baby let the fire get higheri heat up i cant cool down my situation goes round and round i heat up i cant cool down my situation goes round and round i heat up i cant cool down my situation goes round and round ",1
10,"hard to say im sorry","chicago",1982," everybody needs a little time away i heard her say from each other even lovers need a holiday far away from each otherhold me now its hard for me to say im sorry i just want you to stayafter all that weve been through i will make it up to you i promise to and after all thats been said and done youre just the part of me i cant let gocouldnt stand to be kept away just for the day from your body wouldnt wanna be swept away far away from the one that i lovehold me now its hard for me to say im sorry i just want you to knowhold me now i really want to tell you im sorry i could never let you goafter all that weve been through i will make it up to you i promise to and after all thats been said and done youre just the part of me i cant let goafter all that weve been through i will make it up to you i promise toyoure gonna be the lucky onewhen we get there gonna jump in the air no one will see us cause theres nobody there after all you know we really dont care hold on im gonna take you there ",1
11,"tainted love","soft cell",1982," sometimes i feel ive got to run away ive got to get away from the pain that you drive into the heart of me the love we share seems to go nowhere and ive lost my light for i toss and turn i cant sleep at nightonce i ran to you i ran now ill run from you this tainted love youve given i give you all a boy could give you take my tears and thats not nearly all oh tainted love tainted lovenow i know ive got to run away ive got to get away you dont really want it any more from me to make things right you need someone to hold you tight and youll think love is to pray but im sorry i dont pray that wayonce i ran to you i ran now ill run from you this tainted love youve given i give you all a boy could give you take my tears and thats not nearly all oh tainted love tainted love ",1
12,"chariots of fire","vangelis",1982," chariots of fire are on my waychariots of fire are the besti love chariots of firechariots chariots chariots chariots of fire ",1
13,"harden my heart","quarterflash",1982," cryin on the corner waiting in the rain i swear ill never ever wait again you gave me your word but words for you are lies darlin in my wildest dreams i never thought id go but its time to let you know ohchorus im gonna harden my heart im gonna swallow my tears im gonna turn and leave you hereall of my life ive been waiting in the rain ive been waiting for a feeling that never ever came it feels so close but always disappears darlin in your wildest dreams you never had a clue but its time you got the newsrepeat chorus im gonna harden my heart im gonna swallow my tears im gonna turn and leave you heredarlin in my wildest dreams i never thought id go but its time to let you know oh im gonna harden my heart im gonna swallow my tears im gonna turn and leave you hereim gonna harden my heart im gonna swallow my tears im gonna harden my heart im gonna swallow my tears harden my heart im gonna swallow my tears no oh o o harden my heart im gonna harden my heart im gonna swallow my tears im gonna harden my heart im gonna swallow my tears harden my heart harden my heart swallow my tears ",1
