"Rank","Song","Artist","Year","Lyrics","Source"
49,"hangin tough","new kids on the block",1989," oh oh oh oh oh oh oh oh oh oh oh oh oh oh ohoh oh oh oh oh oh oh oh oh oh oh oh oh oh ohlisten up everybody if you wanna take a chance just get on the floor and do the new kids dancedont worry bout nothin cause it wont take long were gonna put you in a trance with a funky songcause you gotta be hangin tough hangin tough hangin tough are you tough enoughhangin tough hangin tough hangin tough were roughoh oh oh oh oh oh oh oh oh oheverybodys always talkin bout whos on top dont cross our path cause youre gonna get stompedwe aint gonna give anybody any slack and if you try to keep us down were gonna come right back and you know werehangin tough hangin tough hangin tough are you tough enough hangin tough hangin tough hangin tough were roughoh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh ohget loose everybody cause were gonna do our thing cause you know it aint over till the fat lady singsyo check it outeverybodys hangin tough oh oh oh oh oh just hangin tough oh oh oh oh ohhangin tough oh oh oh oh oh just hangin tough oh oh oh oh oh hangin tough oh oh oh oh oh ",1
50,"my heart cant tell you no","rod stewart",1989," i dont want you to come round here no more i beg you for mercy you dont know how strong my weakness is or how much it hurts me cause when you said it over with him i want to believe its true so i let you in knowing tomorrow im gonna wake up missing you wake up missing youwhen the one you loves in love with someone else dont you know its torture i mean its a living hell no matter how i try to convince myself this time i wont lose control one look in your blue eyes and suddenly my heart cant tell you noi dont want you to call me up no more saying you need me youre crazy if you think just half your love could ever please me still i want to hold you touch you when you look at me that way theres only one solution i know you gotta stay away from me stay away from mewhen the one you loves in love with someone else dont you know its torture i mean its a living hell no matter how i try to convince myself this time i wont lose control one look in your sad eyes and suddenly my heart cant tell you no my heart cant tell you noi dont want you to come round here no more i beg you for mercy you dont know how strong my weakness is or how much it hurts me cause when you say its over with him i want to believe its true so i let you in knowing tomorrow im gonna wake up missing you wake up missing youwhen the one you loves in love with someone else dont you know its torture i mean its a living hell a living hell when the one you loves in love with someone else dont you know its torture i mean its a living hell a living hell ",1
51,"so alive","love and rockets",1989,"i dont know what color your eyes are baby but your hair is long and brown your legs are strong and youre so so long and you dont come from this town my head is full of magic baby and i cant share this with you i feel im on a cross again lately thats got everything to do with you im alive ah ah so alive im alive ah ah so alive your strut makes me crazy makes me see you more clearly oh baby now i can see you i wish i could stop switch off the clock make it all happen for you im alive ah ah so alive im alive ah ah so alive",3
52,"you got it the right stuff","new kids on the block",1989," the right stuff the right stuff first time was a great time second time was a blast third time i fell in love now i hope it lasts i can see it in your walk tell em when you talk see it in everything you do even in your thoughtsyou got the right stuff baby love the way you turn me on you got the right stuff baby youre the reason why i sing this song all that i needed was you oh girl youre so right said all that i wanted was you you made all my dreams come trueoh oh oh oh oh oh oh oh oh oh oh oh oh oh the right stuff oh oh oh oh oh oh oh oh oh oh oh oh oh oh the right stuffyour first kiss was a sweet kiss second kiss had a twist third and your fourth kiss i dont want to miss i can see it in your walk tell em when you talk see it in everything you do even in your thoughtsyou got the right stuff baby love the way you turn me on you got the right stuff baby youre the reason why i sing this song all that i needed was you oh girl youre so right said all that i wanted was you you made all every one of my dreams come trueoh oh oh oh oh oh oh oh oh oh oh oh oh oh the right stuff oh oh oh oh oh oh oh oh oh oh oh oh oh oh the right stuffthe right stuff girl yeah baby yeah you know you got the right stuff and girl yeah baby you know you know you got it girlin my life youre so right you made all you know what you didoh oh oh oh oh oh oh oh oh oh oh oh oh oh the right stuff oh oh oh oh oh oh oh oh oh oh oh oh oh oh the right stuff ",1
53,"armageddon it","def leppard",1989," you better come inside when youre ready to but no chance if ya dont want to dance youre like fourletter words when youre ready to but then you wont cause you know that you can you got it but are you gettin it you say that love is won when you get some but then your finger wont trigger the gun you know you cant stop it so dont rock it you know you got it hey but are you gettin it really gettin it come get it from megimme all of your lovin every little bit gimme all that you got every bit of it every bit of your lovin oh cmon live a bit never want it to stop yeah but are you gettin it armageddon it ooh really gettin it yes armageddon ityeah doodoo wop you try comin on when you need some but then you dont cause you already did yeah you jangle your jewels while your shakin ya and drive the pretty boys outta their heads you got it but are you gettin it you flash you bedroom eyes like a jumpin jack then play it pretty with a pat on the back you know you cant stop it so dont rock it you know you got it hey but are you gettin it ooh really gettin it oh come get it from megimme all of your lovin every little bit gimme all that you got every bit of it every bit of your lovin oh cmon live a bit never want it to stop yeah but are you gettin it armageddon it ooh really gettin it yes armageddon itcmon steve get it take it take it take it from me i got an itchy finger following me pull it pull it cmon trigger the gun cause the best is yet to come i say cause the best is yet to come are you gettin it really gettin it are you getting it really getting it oh come get it from megimme all of your lovin every little bit gimme all that you got every bit of it every bit of your lovin oh cmon live a bit never want it to stop gimme all of your lovin oh are you getting it gimme all that you got oh are you getting it every bit of your lovin oh little bit gimme all that you got little bit you got to live it gimme all of your lovin oh baby mean it gimme all that you got come on and give it gimme all of your lovin oh come on and give it never want it to stop oh are you getting it gimme all of your lovin ooh are you getting it never want it to stop oh are you getting it every bit of your lovin ",1
54,"satisfied","richard marx",1989," we work our bodies weary to stay alive there must be more to living than nine to five why should we wait for some better time there may not even be a tomorrow aint no sense in losing you mind im gonna make it worth the ridedont you know i wont give up until im satisfied dont you know why should i stop until im satisfiedignore the hesitation that ties your hands use your imagination and take a chance i wont let my moment of truth pass me by ive gotta make my move now or never and if they turn me loose on this town theyre gonna have to hold me downdont you know i wont give up until im satisfied dont you know why should i stop until im satisfiedoh dont you know aint gonna stop until were satisfied dont you know we shouldnt stop until were satisfieddont you know aint gonna stop until im satisfied dont you know we wont give up until were satisfiedwhy shouldnt we stop before were satisfied ",1
55,"express yourself","madonna",1989," baby bbbbaby come on girls you believe in love cause ive got something to sing about it and it goes something like thisdont go for second best baby put your love to the test you know you know youve got to make him express how he feels and maybe then youll know your love is realyou dont need diamond rings or eighteen karat gold fancy cars that go very fast you know they never last no no what you need is a big strong hand to lift you to your higher ground make you feel like a queen on a throne make him love you till you cant come downdont go for second best baby put your love to the test you know you know youve got to make him express how he feels and maybe then youll know your love is reallong stem roses are the way to your heart but he needs to start with your head satin sheets are very romantic what happens when youre not in bed you deserve the best in life so if the time isnt right then move on second best is never enough youll do much better baby on your owndont go for second best baby put your love to the test you know you know youve got to make him express how he feels and maybe then youll know your love is realexpress yourself youve got to make him express himself hey hey hey hey so if you want it right now make him show you how express what hes got oh baby ready or not and when youre gone he might regret it think about the love he once had try to carry on but he just wont get it hell be back on his knees to express himself youve got to make him express himself hey heydont go for second best baby put your love to the test you know you know youve got to make him express how he feels and maybe then youll know your love is realexpress yourself youve got to make him express himself hey hey hey hey so if you want it right now make him show you how express what hes got oh baby ready or not express yourself respect yourself hey hey so if you want it right now make him show you how express what hes got oh baby ready or not express yourself ",1
56,"i like it","dino",1989,"get up on it lets do it thats nice i like it chorus thats the way it has to be cause thats the way i like it thats the way it has to be cause thats the way i like it you told me that you loved me now girl show me cause i cant believe its true by the things you do never have i ever had such pleasure of giving up my love this way i want you every day take me by the hand i will be your man cause thats the way you make me feel take me by surprise look into my eyes and show me that your love is real chorus yeah yeah yeah i like it uh huh uh huh i like it uh huh uh lets wine and dine and just take our time the night is young and so are we just come with me well walk in the park and kiss in the dark girl cause thats the things i like to do when im with you take me by the hand i will be your man cause thats the way you make me feel take me by surprise look into my eyes and show me that your love is real chorus uh i like it lets do it i like it girl thats nice uh huh i say yeah yeah yeah yeah yeah yeah yeah ooh i like it uh huh uh huh uh huh i like it uh huh ooh i like it uh huh uh huh uh huh i like it uh huh people clap your hands if you like it stop this is what i like your hair so wild sunglasses and that smile thats the way uh huh thats the way now dance i like it nasty uh every time im with you i just want to kiss you yeah yeah girl you make me feel good the time is right i wish you would yeah yeah yeah chorus uh i like it yeah i like it ooh i like it uh huh uh huh uh huh i like it uh huh ooh i like it uh huh uh huh uh huh i like it uh huh i like it",3
57,"soldier of love","donny osmond",1989," so you heard that im a rebel with a heart made of stone i got a restless spirit that nobody can own if a picture tells a story wont you listen to mine im searching for the answer but its so hard to findyoull see much deeper when you read between the lines cause theres a fire burning in my eyelike a thief in the night who cant get enough i am willing to fight cause im a soldier of love like a shot in the dark when the going gets rough its a state of the heart youre a soldier of loveim willing to fightlove can be so heartless when you turn out the lights a mutual surrender in the heat of the night lifes an empty picture when youre living alone and maybe thats the reason every heart needs a homeeach time i fall down i get on my feet again im gonna win this battle in the endlike a thief in the night who cant get enough i am willing to fight cause im a soldier of love like a shot in the dark when the going gets rough its a state of the heart and youre a soldier of loveyoull see much deeper when you read between the lines cause theres a fire burning in my eyelike a thief in the night who cant get enough i am willing to fight cause im a soldier of love like a shot in the dark when the going gets rough its a state of the heart and youre a soldier of lovesha la la la la la la when the going gets rough sha la la la la la la im a soldier of love sha la la la la la la when the going gets rough sha la la la la la la a soldier for your lovelike a thief in the night who cant get enough i am willing to fight cause im a soldier of love like a shot in the dark when the going gets rough its a state of the heart youre a soldier of lovelike a thief in the night who cant get enough cause im a soldier of love like a shot in the dark when the going gets rough ",1
58,"sowing the seeds of love","tears for fears",1989," high time we made a stand and shook up the views of the common man the love train rides from coast to coast djs the man we love the mostcould you be could you be squeaky clean and smash any hope of democracy  as the headline says youre free to choose theres egg on your face and mud on your shoes one of these days theyre gonna call it the blues yeah yeahsowing the seeds of love seeds of love sowing the seeds of love sowing the seeds of love sowing the seeds of love seeds of love and anything is possible when youre sowing the seeds of love anything is possible sowing the seeds of lovei spy tears in their eyes they look to the skies for some kind of divine intervention food goes to waste so nice to eat so nice to taste politician grannie with your high idealshave you no idea how the majority feels  so by far a promise land were fools to the rules of a government plan kick out the style bring back the jamsowing the seeds of love seeds of love sowing the seeds of love sowing the seeds of love seeds of lovesowing the seeds the birds and the bees my girlfriend and me in lovefeel the pain talk about it if youre a worried man then shout about it open hearts feel about it open minds think about iteveryone read about it everyone scream about it everyone everyoneyeahyeah everyone read about it read about it read in the books in the crannies and the nooks there are books to readsowing the seeds of love were sowing the seeds of love sowing the seeds of love sowing the seeds of love sowing the seeds of love sowing the seeds of love sowing the seedstime to eat all your words swallow your pride open your eyestime to eat all your words swallow your pride open your eyestime to eat all your words swallow your pride open your eyeshigh time we made a stand and shook up the views of the common man and the love train rides from coast to coast every minute and every hour i love a sunflowerand i believe in love power love power love powersowing the seeds of love the seeds of love sowing the seeds of love sowing the seeds of love the seeds of love sowing the seeds of love sowing the seeds of love the seeds of lovesowing the seeds an end to need the politics of greedsowing the seeds of love the seeds of love sowing the seeds sowing the seeds of love the seeds of love sowing the seeds sowing the seeds of love the seeds of lovesowing the seeds an end to need the politics of greedsowing the seeds of love the seeds of love sowing the seeds sowing the seeds of love the seeds of love sowing the seeds sowing the seeds of love the seeds of love sowing the seeds ",1
